                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7451,                 2.4183,                 1.0639,                0.94784,                0.11045,                0.37505,                0.16902,                 1.8397,                 2.4937,                 1.1083,             0.00041005,             0.00041005,             0.00041005
                      2,                 1.6066,                 1.2038,                 1.0178,                0.76001,                0.45821,                0.56826,                0.27259,                 1.7975,                 1.5369,                 1.0984,              0.0007858,              0.0007858,              0.0007858
                      3,                 1.5705,                 1.0729,                 1.0124,                0.59194,                0.44945,                0.47476,                0.20557,                 1.9663,                 1.3434,                 1.1598,              0.0011203,              0.0011203,              0.0011203
                      4,                 1.5644,                 1.0247,                 1.0196,                0.75237,                0.52905,                0.61822,                0.28968,                 1.7648,                 1.1458,                 1.0993,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.5201,                0.97882,                 1.0005,                0.72418,                0.56804,                0.64637,                0.29638,                 1.7731,                 1.0611,                 1.1013,              0.0010644,              0.0010644,              0.0010644
                      6,                 1.4916,                0.91585,                0.99027,                 0.7411,                0.61133,                0.66881,                0.30917,                 1.7411,                 1.0209,                 1.0847,              0.0010025,              0.0010025,              0.0010025
                      7,                 1.4768,                0.88205,                 0.9902,                0.73992,                0.62678,                0.67784,                0.32296,                 1.6944,                0.99629,                  1.067,             0.00094062,             0.00094062,             0.00094062
                      8,                 1.4569,                0.85404,                0.98422,                0.71185,                0.58728,                0.64171,                0.30801,                 1.7334,                0.99977,                 1.0899,             0.00087875,             0.00087875,             0.00087875
                      9,                 1.4452,                0.83884,                0.98369,                0.76412,                0.59409,                0.66862,                 0.3024,                 1.7671,                0.96384,                 1.1051,             0.00081688,             0.00081688,             0.00081688
                     10,                 1.4365,                0.81179,                0.97627,                0.75738,                0.64773,                0.70472,                  0.328,                 1.7108,                0.93834,                 1.0881,               0.000755,               0.000755,               0.000755
                     11,                 1.4432,                0.83434,                0.98288,                0.74214,                0.65094,                0.69214,                 0.3161,                  1.721,                0.90992,                 1.0979,             0.00069313,             0.00069313,             0.00069313
                     12,                 1.4277,                0.78762,                0.98208,                0.76079,                0.65147,                0.70534,                 0.3188,                 1.7619,                0.90651,                 1.0991,             0.00063125,             0.00063125,             0.00063125
                     13,                 1.4116,                0.76892,                  0.977,                0.77669,                  0.612,                0.69102,                0.32029,                 1.7485,                 0.8905,                 1.1041,             0.00056938,             0.00056938,             0.00056938
                     14,                 1.4063,                0.75717,                0.97487,                0.76666,                0.66751,                0.71535,                0.32372,                 1.7215,                0.87371,                 1.1021,              0.0005075,              0.0005075,              0.0005075
                     15,                 1.3914,                0.73621,                0.97177,                0.78009,                0.64438,                0.71623,                0.34252,                 1.6771,                 0.8582,                 1.0829,             0.00044563,             0.00044563,             0.00044563
                     16,                   1.38,                0.72377,                0.96667,                0.81805,                0.63469,                0.71749,                0.33646,                 1.7148,                0.84711,                 1.0982,             0.00038375,             0.00038375,             0.00038375
                     17,                 1.3714,                0.71158,                 0.9617,                 0.8086,                 0.6529,                0.73491,                0.35038,                 1.6793,                0.85612,                 1.0795,             0.00032188,             0.00032188,             0.00032188
                     18,                 1.3625,                0.69639,                0.96049,                 0.7984,                0.68257,                 0.7425,                0.35601,                   1.65,                0.80624,                 1.0675,                0.00026,                0.00026,                0.00026
                     19,                 1.3567,                0.68197,                0.95911,                0.80852,                0.67042,                0.74278,                0.36177,                 1.6447,                0.81321,                 1.0684,             0.00019813,             0.00019813,             0.00019813
                     20,                 1.3482,                0.67259,                0.95283,                0.80633,                0.66296,                 0.7431,                0.36249,                 1.6443,                0.81351,                 1.0687,             0.00013625,             0.00013625,             0.00013625
