                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4308,                 3.6919,                  1.004,                0.01435,                0.35779,                0.12032,                0.07232,                 1.4102,                   3.64,                0.93751,             0.00018456,             0.00018456,             0.00018456
                      2,                 1.3397,                 2.0754,                0.94084,                0.76396,                 0.0661,                 0.2125,                0.13365,                 1.3827,                 2.6983,                 0.9381,             0.00035816,             0.00035816,             0.00035816
                      3,                 1.2878,                 1.6757,                0.93297,                0.68944,                0.16573,                0.27231,                0.17058,                 1.3689,                 2.3559,                0.94128,             0.00051272,             0.00051272,             0.00051272
                      4,                 1.2481,                 1.4755,                0.92187,                0.51862,                0.31164,                0.38724,                0.23522,                 1.3071,                 1.8697,                0.92509,             0.00064826,             0.00064826,             0.00064826
                      5,                  1.201,                 1.3607,                0.91881,                0.54158,                0.43784,                0.46313,                0.28283,                 1.2971,                 1.6915,                0.92954,             0.00061674,             0.00061674,             0.00061674
                      6,                 1.1739,                 1.2801,                0.91944,                0.51993,                0.51054,                0.50782,                0.31351,                 1.2517,                 1.4146,                0.92644,             0.00061674,             0.00061674,             0.00061674
                      7,                 1.1687,                 1.2078,                0.91697,                0.70262,                0.51764,                0.58642,                0.37201,                 1.2359,                 1.0528,                0.92698,             0.00057867,             0.00057867,             0.00057867
                      8,                  1.141,                 1.1548,                0.91309,                0.65029,                0.63473,                 0.6609,                0.42083,                 1.2253,                0.96237,                0.92485,             0.00054061,             0.00054061,             0.00054061
                      9,                 1.1173,                 1.0835,                0.92095,                0.69256,                 0.6263,                0.65196,                0.41954,                 1.2447,                 1.0169,                0.93271,             0.00050254,             0.00050254,             0.00050254
                     10,                 1.1025,                 1.0443,                0.90307,                0.56988,                0.62658,                0.64345,                 0.4145,                 1.2065,                0.94147,                0.92463,             0.00046448,             0.00046448,             0.00046448
                     11,                 1.0916,                 1.0942,                0.90039,                0.71672,                0.56318,                0.62921,                0.40516,                 1.2311,                 1.0825,                0.92772,             0.00042641,             0.00042641,             0.00042641
                     12,                 1.0948,                 1.0727,                0.90191,                0.70692,                0.53591,                0.62862,                0.40769,                 1.2177,                0.98172,                0.93064,             0.00038835,             0.00038835,             0.00038835
                     13,                 1.0716,                 1.0227,                0.89645,                0.74905,                0.56546,                0.68109,                0.44565,                 1.1868,                0.93063,                0.92475,             0.00035028,             0.00035028,             0.00035028
                     14,                 1.0554,                 0.9798,                0.89628,                0.66629,                  0.659,                 0.6962,                0.45659,                 1.2013,                0.84516,                0.92964,             0.00031221,             0.00031221,             0.00031221
                     15,                 1.0645,                0.94202,                0.89636,                 0.7465,                0.60343,                0.71501,                 0.4689,                 1.1827,                0.89058,                0.92502,             0.00027415,             0.00027415,             0.00027415
                     16,                 1.0404,                0.93297,                0.89644,                0.75345,                0.65761,                0.75322,                0.49599,                  1.159,                0.81176,                0.91955,             0.00023608,             0.00023608,             0.00023608
                     17,                 1.0334,                0.90992,                0.89206,                0.81893,                0.61442,                0.73976,                0.49371,                 1.1701,                 0.7888,                0.92043,             0.00019802,             0.00019802,             0.00019802
                     18,                 1.0211,                0.88179,                0.88999,                0.80732,                0.60129,                0.72389,                0.48113,                 1.1687,                 0.7902,                0.91823,             0.00015995,             0.00015995,             0.00015995
                     19,                  1.023,                0.87393,                0.88622,                0.71395,                0.63642,                0.72935,                0.48402,                 1.1901,                0.79976,                 0.9223,             0.00012189,             0.00012189,             0.00012189
                     20,                 1.0129,                0.86901,                0.88547,                0.73559,                 0.6487,                0.74034,                0.48638,                 1.1667,                0.77442,                 0.9191,             8.3821e-05,             8.3821e-05,             8.3821e-05
