                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4077,                 3.4244,                0.99458,                0.00284,                0.10291,                0.01144,                0.00356,                 2.2119,                 3.6532,                 1.2648,               0.076024,                2.4e-05,                2.4e-05
                      2,                  1.317,                 2.2895,                0.94201,                0.03132,                0.43787,                0.15153,                0.09205,                 1.3765,                 3.2684,                0.96724,               0.051048,              4.803e-05,              4.803e-05
                      3,                 1.2966,                 1.9135,                0.93597,                0.52605,                0.24569,                0.21741,                0.13961,                 1.3182,                 2.8406,                0.93867,               0.026071,              7.107e-05,              7.107e-05
                      4,                 1.2534,                 1.6761,                0.91928,                0.66671,                0.17216,                0.24591,                0.16094,                 1.3032,                 2.1809,                0.93772,              0.0010931,             9.3119e-05,             9.3119e-05
                      5,                 1.2273,                 1.5367,                0.91754,                0.57185,                0.26826,                 0.2862,                0.19055,                 1.3019,                 1.7291,                 0.9388,              9.208e-05,              9.208e-05,              9.208e-05
                      6,                 1.2005,                 1.4721,                0.91398,                0.39827,                0.36072,                0.32154,                0.21247,                 1.2694,                 1.3889,                0.93164,              9.208e-05,              9.208e-05,              9.208e-05
                      7,                 1.1995,                  1.397,                0.91405,                0.48764,                0.33313,                0.37933,                0.24408,                 1.2708,                 1.2755,                0.93223,               9.01e-05,               9.01e-05,               9.01e-05
                      8,                 1.1754,                 1.3431,                0.90697,                0.41539,                0.47036,                0.44407,                0.28235,                 1.2485,                 1.1301,                0.92947,              8.812e-05,              8.812e-05,              8.812e-05
                      9,                 1.1426,                 1.2726,                0.91222,                0.52427,                0.46803,                0.48011,                0.30508,                  1.251,                 1.1279,                0.93267,              8.614e-05,              8.614e-05,              8.614e-05
                     10,                 1.1338,                  1.231,                0.89932,                0.62525,                0.43241,                0.50383,                0.32486,                 1.2459,                 1.0809,                0.93128,              8.416e-05,              8.416e-05,              8.416e-05
                     11,                 1.1267,                 1.1981,                 0.9054,                0.48802,                0.55923,                 0.5189,                0.33102,                 1.2353,                 1.0526,                0.92581,              8.218e-05,              8.218e-05,              8.218e-05
                     12,                 1.1275,                  1.196,                0.90987,                0.51237,                0.54107,                0.53244,                0.34171,                 1.2423,                 1.0625,                0.93188,               8.02e-05,               8.02e-05,               8.02e-05
                     13,                 1.1371,                 1.1657,                 0.8981,                0.55676,                0.57093,                0.57311,                0.37222,                 1.2457,                 1.0388,                0.93165,              7.822e-05,              7.822e-05,              7.822e-05
                     14,                   1.11,                 1.1134,                0.89369,                0.60345,                0.54035,                0.59378,                0.39208,                 1.2253,                0.98973,                0.93179,              7.624e-05,              7.624e-05,              7.624e-05
                     15,                 1.1294,                 1.1203,                0.90654,                0.54829,                0.59092,                0.57056,                0.37697,                 1.2303,                 1.0231,                0.93123,              7.426e-05,              7.426e-05,              7.426e-05
                     16,                 1.1191,                 1.0911,                0.90351,                 0.5956,                0.53686,                0.58194,                0.38311,                 1.2228,                0.98451,                0.92581,              7.228e-05,              7.228e-05,              7.228e-05
                     17,                 1.1103,                 1.0912,                0.89963,                0.63148,                0.56639,                0.60989,                0.40468,                 1.2082,                0.95837,                0.92289,               7.03e-05,               7.03e-05,               7.03e-05
                     18,                 1.1001,                 1.0623,                0.90182,                0.62938,                0.57815,                0.62308,                0.40926,                  1.206,                0.95761,                0.92604,              6.832e-05,              6.832e-05,              6.832e-05
                     19,                 1.0953,                 1.0567,                0.89672,                0.62603,                 0.6091,                0.62801,                0.41479,                 1.2146,                0.94964,                0.92501,              6.634e-05,              6.634e-05,              6.634e-05
                     20,                 1.0933,                 1.0586,                0.90072,                0.66707,                0.56982,                0.63373,                0.42788,                 1.2162,                0.92796,                0.92691,              6.436e-05,              6.436e-05,              6.436e-05
                     21,                 1.0682,                  1.005,                0.89256,                0.65583,                0.56819,                0.63273,                0.42783,                 1.2032,                0.91741,                0.92388,              6.238e-05,              6.238e-05,              6.238e-05
                     22,                 1.0774,                0.99042,                0.88986,                 0.6287,                0.62518,                0.62963,                0.42141,                 1.2081,                0.90402,                0.92443,               6.04e-05,               6.04e-05,               6.04e-05
                     23,                 1.0779,                 1.0043,                0.89538,                0.62859,                0.63321,                0.62174,                0.41336,                 1.2138,                0.89848,                0.93003,              5.842e-05,              5.842e-05,              5.842e-05
                     24,                 1.0854,                0.99666,                 0.8999,                0.63497,                0.59742,                0.62132,                0.42113,                 1.1986,                0.89769,                0.92874,              5.644e-05,              5.644e-05,              5.644e-05
                     25,                 1.0805,                0.99495,                0.90035,                0.66255,                 0.5727,                0.61449,                0.41307,                 1.1931,                0.89389,                0.92401,              5.446e-05,              5.446e-05,              5.446e-05
                     26,                 1.0689,                0.97511,                0.89272,                 0.6413,                0.56667,                0.62446,                0.41633,                 1.2117,                0.90339,                0.92879,              5.248e-05,              5.248e-05,              5.248e-05
                     27,                 1.0811,                0.98476,                 0.8921,                0.64864,                0.59565,                0.64344,                0.42794,                 1.2005,                0.88138,                  0.927,               5.05e-05,               5.05e-05,               5.05e-05
                     28,                 1.0879,                0.98877,                 0.8959,                0.63641,                 0.5978,                0.63626,                0.42712,                 1.2111,                0.88475,                0.92819,              4.852e-05,              4.852e-05,              4.852e-05
                     29,                 1.0628,                0.95409,                 0.8924,                0.69865,                0.58348,                0.64177,                0.43405,                 1.1932,                0.86875,                0.92544,              4.654e-05,              4.654e-05,              4.654e-05
                     30,                 1.0565,                0.95304,                0.89226,                0.65309,                0.62618,                0.64908,                0.43647,                 1.1941,                0.86135,                0.92368,              4.456e-05,              4.456e-05,              4.456e-05
                     31,                 1.0519,                0.94635,                0.89318,                0.66171,                0.60524,                0.63273,                0.42726,                 1.2007,                0.85524,                0.92589,              4.258e-05,              4.258e-05,              4.258e-05
                     32,                 1.0529,                0.92534,                0.89429,                0.60459,                0.67012,                0.65846,                0.44445,                 1.1955,                0.84959,                0.92557,               4.06e-05,               4.06e-05,               4.06e-05
                     33,                 1.0623,                 0.9485,                0.89448,                0.67622,                0.58891,                 0.6494,                0.44115,                 1.1922,                0.87799,                0.92273,              3.862e-05,              3.862e-05,              3.862e-05
                     34,                   1.04,                0.92319,                0.88279,                0.65143,                0.63297,                0.64756,                 0.4421,                 1.1968,                0.85975,                 0.9253,              3.664e-05,              3.664e-05,              3.664e-05
                     35,                  1.041,                0.90612,                 0.8918,                0.62644,                0.65093,                0.64476,                0.43443,                 1.2035,                0.86793,                0.92471,              3.466e-05,              3.466e-05,              3.466e-05
                     36,                 1.0594,                0.93674,                0.88974,                0.65306,                0.62265,                 0.6692,                0.45311,                 1.1933,                0.85272,                0.92519,              3.268e-05,              3.268e-05,              3.268e-05
