                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.436,                 4.0129,                 1.0244,                0.00545,                0.10607,                0.01594,                0.00568,                 2.1518,                 3.8753,                 1.1905,               0.088012,                1.2e-05,                1.2e-05
                      2,                 1.3499,                 2.7097,                0.94162,                0.02414,                0.30217,                0.07976,                0.04474,                 1.4553,                 3.4907,                  1.023,               0.075025,             2.4753e-05,             2.4753e-05
                      3,                 1.3281,                 2.1087,                0.94208,                0.04246,                0.39867,                0.14327,                0.08748,                 1.3614,                 3.5889,                0.97522,               0.062037,             3.7248e-05,             3.7248e-05
                      4,                 1.2741,                 1.7686,                0.92564,                0.08241,                0.46987,                0.17214,                0.10952,                 1.3756,                 3.4837,                0.98173,               0.049049,             4.9485e-05,             4.9485e-05
                      5,                 1.2435,                 1.6205,                0.92893,                0.07178,                0.52095,                0.21747,                0.13503,                  1.383,                  3.202,                0.97871,               0.036061,             6.1466e-05,             6.1466e-05
                      6,                 1.2497,                 1.4973,                0.92299,                0.05646,                0.59569,                0.24591,                0.15624,                 1.3441,                 2.7288,                0.95231,               0.023073,             7.3188e-05,             7.3188e-05
                      7,                 1.2047,                 1.3821,                0.90804,                0.71175,                0.16948,                0.28456,                0.17701,                 1.3403,                 2.3494,                0.95157,               0.010085,             8.4654e-05,             8.4654e-05
                      8,                 1.1563,                 1.2764,                0.90689,                0.65358,                0.16384,                0.33503,                0.21063,                 1.3019,                 1.9576,                0.94343,              9.307e-05,              9.307e-05,              9.307e-05
                      9,                 1.1645,                 1.2366,                0.90333,                0.65663,                0.38247,                0.42835,                0.27212,                 1.2665,                  1.551,                0.93314,              9.307e-05,              9.307e-05,              9.307e-05
                     10,                 1.1375,                 1.1762,                0.90937,                    0.5,                0.45289,                0.45155,                0.28962,                 1.2412,                 1.4231,                0.92667,              9.208e-05,              9.208e-05,              9.208e-05
                     11,                 1.1282,                 1.1333,                0.90654,                0.49299,                0.52314,                0.49412,                0.31285,                 1.2491,                 1.2563,                0.93218,              9.109e-05,              9.109e-05,              9.109e-05
                     12,                 1.1362,                 1.1304,                0.90348,                0.54984,                0.53287,                0.50916,                0.33065,                  1.222,                 1.0947,                0.92747,               9.01e-05,               9.01e-05,               9.01e-05
                     13,                 1.1312,                 1.0963,                0.89948,                0.55124,                 0.5065,                0.53505,                0.35343,                 1.2107,                 1.0017,                0.92645,              8.911e-05,              8.911e-05,              8.911e-05
                     14,                 1.1397,                 1.0703,                 0.9046,                0.52715,                0.57938,                 0.5521,                0.36612,                 1.2028,                 1.0243,                0.92184,              8.812e-05,              8.812e-05,              8.812e-05
                     15,                 1.1315,                 1.0761,                 0.9067,                0.55138,                0.59726,                0.53997,                0.35924,                 1.1936,                0.98488,                 0.9205,              8.713e-05,              8.713e-05,              8.713e-05
                     16,                 1.1155,                  1.033,                0.89725,                0.61066,                0.59732,                0.57278,                0.37698,                 1.1867,                0.95334,                0.91941,              8.614e-05,              8.614e-05,              8.614e-05
                     17,                 1.1014,                 1.0204,                0.89683,                0.57203,                0.63936,                0.57714,                0.38572,                 1.1769,                0.94366,                0.91906,              8.515e-05,              8.515e-05,              8.515e-05
                     18,                 1.0787,                0.99854,                0.89793,                0.58619,                0.61663,                0.58687,                0.38664,                 1.1768,                0.94103,                0.92029,              8.416e-05,              8.416e-05,              8.416e-05
                     19,                 1.0969,                 0.9903,                0.89545,                0.61869,                0.59764,                 0.6022,                0.40892,                 1.1717,                0.90388,                0.91903,              8.317e-05,              8.317e-05,              8.317e-05
